E_gamma_low;E_gamma_high;E_gamma_sys;costheta_center;costheta_width;T;stat;sys

667.24;699.76;6.50;-0.958;0.083;-0.2596;0.0976;0.0080
667.24;699.76;6.50;-0.875;0.083;-0.3346;0.0543;0.0086
667.24;699.76;6.50;-0.792;0.083;-0.4980;0.0408;0.0129
667.24;699.76;6.50;-0.708;0.083;-0.6306;0.0347;0.0154
667.24;699.76;6.50;-0.625;0.083;-0.6693;0.0316;0.0168
667.24;699.76;6.50;-0.542;0.083;-0.7317;0.0286;0.0170
667.24;699.76;6.50;-0.458;0.083;-0.8295;0.0338;0.0261
667.24;699.76;6.50;-0.375;0.083;-0.7583;0.0291;0.0170
667.24;699.76;6.50;-0.292;0.083;-0.7793;0.0267;0.0180
667.24;699.76;6.50;-0.208;0.083;-0.7629;0.0263;0.0189
667.24;699.76;6.50;-0.125;0.083;-0.7808;0.0249;0.0179
667.24;699.76;6.50;-0.042;0.083;-0.7951;0.0247;0.0193
667.24;699.76;6.50;0.042;0.083;-0.7840;0.0251;0.0190
667.24;699.76;6.50;0.125;0.083;-0.7738;0.0260;0.0179
667.24;699.76;6.50;0.208;0.083;-0.7537;0.0269;0.0188
667.24;699.76;6.50;0.292;0.083;-0.7071;0.0278;0.0162
667.24;699.76;6.50;0.375;0.083;-0.6379;0.0285;0.0140
667.24;699.76;6.50;0.458;0.083;-0.4937;0.0408;0.0125

699.76;731.45;6.34;-0.958;0.083;-0.1684;0.1025;0.0038
699.76;731.45;6.34;-0.875;0.083;-0.1793;0.0599;0.0053
699.76;731.45;6.34;-0.792;0.083;-0.2888;0.0447;0.0078
699.76;731.45;6.34;-0.708;0.083;-0.3406;0.0414;0.0081
699.76;731.45;6.34;-0.625;0.083;-0.5064;0.0369;0.0130
699.76;731.45;6.34;-0.542;0.083;-0.5747;0.0335;0.0136
699.76;731.45;6.34;-0.458;0.083;-0.6330;0.0405;0.0199
699.76;731.45;6.34;-0.375;0.083;-0.6199;0.0360;0.0147
699.76;731.45;6.34;-0.292;0.083;-0.6730;0.0335;0.0148
699.76;731.45;6.34;-0.208;0.083;-0.6214;0.0312;0.0149
699.76;731.45;6.34;-0.125;0.083;-0.6742;0.0300;0.0156
699.76;731.45;6.34;-0.042;0.083;-0.6291;0.0289;0.0149
699.76;731.45;6.34;0.042;0.083;-0.6920;0.0289;0.0163
699.76;731.45;6.34;0.125;0.083;-0.6456;0.0301;0.0152
699.76;731.45;6.34;0.208;0.083;-0.5926;0.0305;0.0143
699.76;731.45;6.34;0.292;0.083;-0.5031;0.0321;0.0117
699.76;731.45;6.34;0.375;0.083;-0.4865;0.0342;0.0113
699.76;731.45;6.34;0.458;0.083;-0.3185;0.0396;0.0073
699.76;731.45;6.34;0.542;0.083;-0.2622;0.0765;0.0084

731.45;768.43;6.16;-0.958;0.083;-0.0062;0.0672;0.0019
731.45;768.43;6.16;-0.875;0.083;-0.0816;0.0396;0.0031
731.45;768.43;6.16;-0.792;0.083;-0.1455;0.0297;0.0041
731.45;768.43;6.16;-0.708;0.083;-0.2542;0.0282;0.0061
731.45;768.43;6.16;-0.625;0.083;-0.3454;0.0254;0.0089
731.45;768.43;6.16;-0.542;0.083;-0.3323;0.0238;0.0076
731.45;768.43;6.16;-0.458;0.083;-0.4699;0.0272;0.0144
731.45;768.43;6.16;-0.375;0.083;-0.4719;0.0260;0.0115
731.45;768.43;6.16;-0.292;0.083;-0.4785;0.0231;0.0107
731.45;768.43;6.16;-0.208;0.083;-0.4961;0.0225;0.0126
731.45;768.43;6.16;-0.125;0.083;-0.5071;0.0217;0.0122
731.45;768.43;6.16;-0.042;0.083;-0.5006;0.0210;0.0119
731.45;768.43;6.16;0.042;0.083;-0.4552;0.0208;0.0111
731.45;768.43;6.16;0.125;0.083;-0.4081;0.0214;0.0095
731.45;768.43;6.16;0.208;0.083;-0.4150;0.0214;0.0102
731.45;768.43;6.16;0.292;0.083;-0.3549;0.0220;0.0083
731.45;768.43;6.16;0.375;0.083;-0.2956;0.0233;0.0071
731.45;768.43;6.16;0.458;0.083;-0.2226;0.0250;0.0051
731.45;768.43;6.16;0.542;0.083;-0.0885;0.0398;0.0025

768.43;798.41;6.00;-0.958;0.083;-0.0118;0.0642;0.0015
768.43;798.41;6.00;-0.875;0.083;0.1425;0.0400;0.0039
768.43;798.41;6.00;-0.792;0.083;0.0446;0.0302;0.0021
768.43;798.41;6.00;-0.708;0.083;-0.0520;0.0287;0.0016
768.43;798.41;6.00;-0.625;0.083;-0.0686;0.0266;0.0021
768.43;798.41;6.00;-0.542;0.083;-0.1410;0.0269;0.0035
768.43;798.41;6.00;-0.458;0.083;-0.2270;0.0296;0.0073
768.43;798.41;6.00;-0.375;0.083;-0.2535;0.0291;0.0060
768.43;798.41;6.00;-0.292;0.083;-0.3046;0.0262;0.0071
768.43;798.41;6.00;-0.208;0.083;-0.3395;0.0255;0.0087
768.43;798.41;6.00;-0.125;0.083;-0.3270;0.0240;0.0077
768.43;798.41;6.00;-0.042;0.083;-0.3487;0.0234;0.0084
768.43;798.41;6.00;0.042;0.083;-0.3679;0.0234;0.0094
768.43;798.41;6.00;0.125;0.083;-0.2900;0.0240;0.0070
768.43;798.41;6.00;0.208;0.083;-0.2765;0.0241;0.0071
768.43;798.41;6.00;0.292;0.083;-0.2073;0.0249;0.0052
768.43;798.41;6.00;0.375;0.083;-0.1324;0.0271;0.0035
768.43;798.41;6.00;0.458;0.083;-0.1332;0.0285;0.0033
768.43;798.41;6.00;0.542;0.083;-0.0639;0.0355;0.0018
768.43;798.41;6.00;0.625;0.083;-0.0227;0.1514;0.0124

798.41;833.43;5.84;-0.958;0.083;0.1257;0.0607;0.0029
798.41;833.43;5.84;-0.875;0.083;0.2256;0.0370;0.0057
798.41;833.43;5.84;-0.792;0.083;0.2111;0.0290;0.0054
798.41;833.43;5.84;-0.708;0.083;0.1436;0.0272;0.0036
798.41;833.43;5.84;-0.625;0.083;0.0644;0.0268;0.0020
798.41;833.43;5.84;-0.542;0.083;0.0131;0.0264;0.0010
798.41;833.43;5.84;-0.458;0.083;-0.0853;0.0306;0.0030
798.41;833.43;5.84;-0.375;0.083;-0.1155;0.0296;0.0032
798.41;833.43;5.84;-0.292;0.083;-0.1414;0.0268;0.0033
798.41;833.43;5.84;-0.208;0.083;-0.2129;0.0265;0.0056
798.41;833.43;5.84;-0.125;0.083;-0.2001;0.0259;0.0050
798.41;833.43;5.84;-0.042;0.083;-0.1777;0.0258;0.0045
798.41;833.43;5.84;0.042;0.083;-0.2395;0.0254;0.0063
798.41;833.43;5.84;0.125;0.083;-0.2340;0.0258;0.0058
798.41;833.43;5.84;0.208;0.083;-0.1973;0.0260;0.0053
798.41;833.43;5.84;0.292;0.083;-0.1676;0.0273;0.0045
798.41;833.43;5.84;0.375;0.083;-0.1709;0.0281;0.0045
798.41;833.43;5.84;0.458;0.083;-0.0759;0.0309;0.0020
798.41;833.43;5.84;0.542;0.083;0.0581;0.0372;0.0020
798.41;833.43;5.84;0.625;0.083;0.1538;0.0913;0.0102

833.43;867.47;5.67;-0.958;0.083;0.2751;0.0573;0.0060
833.43;867.47;5.67;-0.875;0.083;0.2378;0.0370;0.0057
833.43;867.47;5.67;-0.792;0.083;0.2522;0.0295;0.0066
833.43;867.47;5.67;-0.708;0.083;0.1968;0.0274;0.0047
833.43;867.47;5.67;-0.625;0.083;0.1035;0.0271;0.0030
833.43;867.47;5.67;-0.542;0.083;0.0862;0.0265;0.0023
833.43;867.47;5.67;-0.458;0.083;-0.0074;0.0313;0.0013
833.43;867.47;5.67;-0.375;0.083;-0.0716;0.0327;0.0023
833.43;867.47;5.67;-0.292;0.083;-0.0847;0.0284;0.0021
833.43;867.47;5.67;-0.208;0.083;-0.0855;0.0285;0.0024
833.43;867.47;5.67;-0.125;0.083;-0.1695;0.0278;0.0043
833.43;867.47;5.67;-0.042;0.083;-0.1884;0.0276;0.0051
833.43;867.47;5.67;0.042;0.083;-0.2271;0.0279;0.0063
833.43;867.47;5.67;0.125;0.083;-0.1669;0.0280;0.0041
833.43;867.47;5.67;0.208;0.083;-0.2262;0.0294;0.0068
833.43;867.47;5.67;0.292;0.083;-0.1331;0.0310;0.0039
833.43;867.47;5.67;0.375;0.083;-0.1096;0.0321;0.0031
833.43;867.47;5.67;0.458;0.083;-0.0264;0.0357;0.0014
833.43;867.47;5.67;0.542;0.083;-0.0060;0.0396;0.0011
833.43;867.47;5.67;0.625;0.083;0.1251;0.0850;0.0087

867.47;900.56;5.52;-0.958;0.083;0.0922;0.0793;0.0029
867.47;900.56;5.52;-0.875;0.083;0.2998;0.0534;0.0074
867.47;900.56;5.52;-0.792;0.083;0.2396;0.0432;0.0070
867.47;900.56;5.52;-0.708;0.083;0.2067;0.0407;0.0052
867.47;900.56;5.52;-0.625;0.083;0.2398;0.0391;0.0070
867.47;900.56;5.52;-0.542;0.083;0.0934;0.0395;0.0027
867.47;900.56;5.52;-0.458;0.083;0.0145;0.0476;0.0018
867.47;900.56;5.52;-0.375;0.083;-0.0709;0.0504;0.0024
867.47;900.56;5.52;-0.292;0.083;-0.0608;0.0427;0.0017
867.47;900.56;5.52;-0.208;0.083;-0.0734;0.0441;0.0024
867.47;900.56;5.52;-0.125;0.083;-0.1408;0.0428;0.0040
867.47;900.56;5.52;-0.042;0.083;-0.1586;0.0414;0.0042
867.47;900.56;5.52;0.042;0.083;-0.1366;0.0439;0.0038
867.47;900.56;5.52;0.125;0.083;-0.1965;0.0436;0.0050
867.47;900.56;5.52;0.208;0.083;-0.2600;0.0475;0.0083
867.47;900.56;5.52;0.292;0.083;-0.1733;0.0504;0.0059
867.47;900.56;5.52;0.375;0.083;-0.2339;0.0537;0.0070
867.47;900.56;5.52;0.458;0.083;-0.0465;0.0568;0.0024
867.47;900.56;5.52;0.542;0.083;-0.0196;0.0596;0.0016
867.47;900.56;5.52;0.625;0.083;-0.1157;0.0850;0.0053

900.56;932.75;5.37;-0.958;0.083;0.1938;0.0835;0.0040
900.56;932.75;5.37;-0.875;0.083;0.2544;0.0483;0.0067
900.56;932.75;5.37;-0.792;0.083;0.1724;0.0407;0.0049
900.56;932.75;5.37;-0.708;0.083;0.0912;0.0372;0.0028
900.56;932.75;5.37;-0.625;0.083;0.1410;0.0370;0.0043
900.56;932.75;5.37;-0.542;0.083;0.0636;0.0380;0.0022
900.56;932.75;5.37;-0.458;0.083;-0.0061;0.0473;0.0016
900.56;932.75;5.37;-0.375;0.083;-0.0737;0.0528;0.0029
900.56;932.75;5.37;-0.292;0.083;-0.1004;0.0458;0.0027
900.56;932.75;5.37;-0.208;0.083;-0.1098;0.0448;0.0035
900.56;932.75;5.37;-0.125;0.083;-0.1538;0.0450;0.0044
900.56;932.75;5.37;-0.042;0.083;-0.1723;0.0469;0.0050
900.56;932.75;5.37;0.042;0.083;-0.1876;0.0463;0.0056
900.56;932.75;5.37;0.125;0.083;-0.1894;0.0475;0.0052
900.56;932.75;5.37;0.208;0.083;-0.2571;0.0539;0.0089
900.56;932.75;5.37;0.292;0.083;-0.3514;0.0545;0.0124
900.56;932.75;5.37;0.375;0.083;-0.3853;0.0562;0.0122
900.56;932.75;5.37;0.458;0.083;-0.2525;0.0630;0.0099
900.56;932.75;5.37;0.542;0.083;-0.2057;0.0651;0.0077
900.56;932.75;5.37;0.625;0.083;-0.2958;0.0836;0.0154
900.56;932.75;5.37;0.708;0.083;-0.3357;0.2743;0.0445

